"title","link","year","rating","n_ratings","genre","cert","country","lang","budget","opening_week","runtime"
"22 Jump Street","http://www.imdb.com/title/tt2294449/?ref_=adv_li_tt",2014,7,342238," Action, Comedy, Crime","15","USA","English",5e+07,57071445,112
"24","http://www.imdb.com/title/tt4981966/?ref_=adv_li_tt",2016,7.8,16695," Action, Sci-Fi, Thriller","12A","India","Tamil",NA,NA,164
"24 Hours to Live","http://www.imdb.com/title/tt5442456/?ref_=adv_li_tt",2017,5.8,12273," Action, Sci-Fi, Thriller","15","South Africa,China,USA","English,Chinese",NA,NA,93
"247°F","http://www.imdb.com/title/tt1877543/?ref_=adv_li_tt",2011,4.9,5553," Horror, Thriller","15","Georgia,USA","English,Ukrainian",650000,NA,88
"2:22","http://www.imdb.com/title/tt1131724/?ref_=adv_li_tt",2017,5.8,19629," Drama, Mystery, Sci-Fi, Thriller","12","Australia,USA","English",NA,294,98
"3 Days to Kill","http://www.imdb.com/title/tt2172934/?ref_=adv_li_tt",2014,6.2,86735," Action, Drama, Thriller","12A","USA,France,Serbia","English,French,German,Serbian",2.8e+07,12242218,117
"3 Generations","http://www.imdb.com/title/tt4158624/?ref_=adv_li_tt",2015,5.9,5898," Drama","12","USA","English,Spanish",5e+06,105215,92
"3 from Hell","http://www.imdb.com/title/tt8134742/?ref_=adv_li_tt",2019,5.5,11309," Action, Horror","18","USA","English,Spanish",3e+06,NA,115
"30 Minutes or Less","http://www.imdb.com/title/tt1622547/?ref_=adv_li_tt",2011,6.1,92842," Action, Comedy, Crime","15","USA","English,German,Spanish",2.8e+07,13330118,83
"300: Rise of an Empire","http://www.imdb.com/title/tt1253863/?ref_=adv_li_tt",2014,6.2,278492," Action, Drama","15","USA","English",1.1e+08,45038460,102
"303","http://www.imdb.com/title/tt5451118/?ref_=adv_li_tt",2018,7.5,5551," Comedy, Drama, Romance","","Germany","German,Portuguese,English,French,Spanish",NA,NA,145
"3096 Days","http://www.imdb.com/title/tt1667355/?ref_=adv_li_tt",2013,6.5,10493," Biography, Crime, Drama","18","Germany","English",NA,NA,111
"31","http://www.imdb.com/title/tt3835080/?ref_=adv_li_tt",2016,5.1,18273," Horror, Thriller","18","UK,USA","English,Spanish,German",1500000,NA,102
"321 Action","http://www.imdb.com/title/tt13423846/?ref_=adv_li_tt",2020,1,7149," Drama","","Saudi Arabia","Arabic",NA,NA,NA
"360","http://www.imdb.com/title/tt1680045/?ref_=adv_li_tt",2011,6.2,15802," Drama, Thriller","15","UK,Austria,France,Canada,Brazil,USA","English,German,Arabic,French,Portuguese,Russian,Slovak",NA,12186,110
"365 Days","http://www.imdb.com/title/tt10886166/?ref_=adv_li_tt",2020,3.3,43300," Drama, Romance","18","Poland","Polish,English,Italian",NA,NA,114
"4.3.2.1.","http://www.imdb.com/title/tt1514041/?ref_=adv_li_tt",2010,5.8,10326," Crime, Thriller","15","UK","English",4600000,NA,117
"400 Days","http://www.imdb.com/title/tt3774790/?ref_=adv_li_tt",2015,4.4,10075," Mystery, Sci-Fi, Thriller","15","USA","English",NA,NA,91
"42","http://www.imdb.com/title/tt0453562/?ref_=adv_li_tt",2013,7.5,85303," Biography, Drama, Sport","12A","USA","English",4e+07,27487144,128
"45 Years","http://www.imdb.com/title/tt3544082/?ref_=adv_li_tt",2015,7.1,30742," Drama, Romance","15","UK","English",NA,65775,91
"47 Meters Down","http://www.imdb.com/title/tt2932536/?ref_=adv_li_tt",2017,5.6,48347," Adventure, Drama, Horror, Thriller","15","UK","English,Spanish",5300000,11205561,89
"47 Meters Down: Uncaged","http://www.imdb.com/title/tt7329656/?ref_=adv_li_tt",2019,5,19883," Adventure, Drama, Horror, Thriller","","UK,USA","English",1.2e+07,8427265,90
