title,year,rating,genre,country
Atlas Shrugged: Part I,2011,5.6,Drama,USA
ATM,2012,4.7,Horror,USA
Atomic Blonde,2017,6.7,Action,USA
Attack the Block,2011,6.6,Action,UK
Attenberg,2010,6.2,Drama,Greece
August: Osage County,2013,7.2,Comedy,USA
Austenland,2013,6.3,Comedy,UK
Automata,2014,6.1,Action,Spain
Ava,2020,5.3,Action,USA
Avengement,2019,6.5,Action,UK
Avengers Assemble,2012,8,Action,USA
Avengers: Age of Ultron,2015,7.3,Action,USA
Avengers: Endgame,2019,8.4,Action,USA
Avengers: Infinity War,2018,8.4,Action,USA
Await Further Instructions,2018,4.8,Horror,UK
Ayla,2017,8.4,Biography,Turkey
Baar Baar Dekho,2016,5.3,Comedy,India
Baby Driver,2017,7.6,Action,UK
Babycall,2011,5.7,Horror,Norway
Babyteeth,2019,7.1,Comedy,Australia
Bachelorette,2012,5.3,Comedy,USA
Backtrack,2015,5.9,Drama,Australia
Bacurau,2019,7.5,Adventure,Brazil
Bad Ass,2012,5.5,Action,USA
Bad Boys for Life,2020,6.6,Action,USA
Bad Bromance,2015,5,Comedy,UK
Bad Cop,2010,6.1,Action,USA
Bad Country,2014,5.8,Action,USA
Bad Day for the Cut,2017,6.5,Action,UK
Bad Education,2019,7.1,Biography,USA
Bad Grandpa,2013,6.5,Comedy,USA
Bad Land: Road to Fury,2014,5.9,Action,South Africa
Bad Milo!,2013,5.7,Comedy,USA
Bad Moms,2016,6.2,Comedy,USA
Bad Neighbours,2014,6.3,Comedy,USA
Bad Neighbours 2,2016,5.7,Comedy,USA
Bad Samaritan,2018,6.4,Crime,USA
Bad Santa 2,2016,5.6,Comedy,USA
Bad Teacher,2011,5.6,Comedy,USA
Bad Times at the El Royale,2018,7.1,Crime,USA
Bad Words,2013,6.6,Comedy,USA
Badmaa$h Company,2010,6,Comedy,India
Baggage Claim,2013,5.1,Comedy,USA
Bailout: The Age of Greed,2013,6,Action,Canada
Bait,2012,5.2,Action,Australia
Ballerina,2016,6.8,Animation,France
Band Aid,2017,6.6,Comedy,USA
Band Baaja Baaraat,2010,7.2,Comedy,India
Bang Bang,2014,5.5,Action,India
Banshee Chapter,2013,5.5,Horror,Germany
Barbershop: A Fresh Cut,2016,5.9,Comedy,USA
Barefoot,2014,6.6,Comedy,USA
Barely Lethal,2015,5.4,Action,USA
Barney's Version,2010,7.3,Comedy,Italy
Barry,2016,5.8,Biography,USA
Bastille Day,2016,6.3,Action,UK
Batman and Harley Quinn,2017,5.9,Animation,USA
Batman Ninja,2018,5.6,Animation,Japan
Batman v Superman: Dawn of Justice,2016,6.4,Action,USA
Batman: Gotham by Gaslight,2018,6.7,Animation,USA
Batman: The Killing Joke,2016,6.4,Animation,USA
Battle for Sevastopol,2015,7.1,Biography,Ukraine
Battle of the Sexes,2017,6.7,Biography,UK
Battle of the Year,2013,5,Drama,USA
Battle: Los Angeles,2011,5.7,Action,USA
Battleship,2012,5.8,Action,USA
Baywatch,2017,5.5,Action,UK
Beach Rats,2017,6.4,Drama,USA
Beast,2017,6.8,Crime,UK
Beastly,2011,5.6,Drama,USA
Beasts of No Nation,2015,7.7,Drama,USA
Beasts of the Southern Wild,2012,7.3,Adventure,USA
Beatriz at Dinner,2017,6,Comedy,USA
Beautiful Boy,2018,7.3,Biography,USA
Beautiful Creatures,2013,6.1,Drama,USA
Beautiful Lies,2010,6.5,Comedy,France
Beauty and the Beast,2017,7.1,Family,USA
Becky,2020,5.8,Action,USA
Before I Disappear,2014,7.2,Drama,USA
Before I Fall,2017,6.5,Drama,USA
Before I Go to Sleep,2014,6.3,Drama,UK
Before I Wake,2016,6.2,Drama,USA
Before Midnight,2013,7.9,Drama,USA
Before We Go,2014,6.8,Comedy,USA
Begin Again,2013,7.4,Comedy,USA
Beginners,2010,7.2,Comedy,USA
Behaving Badly,2014,4.4,Comedy,USA
Behind the Candelabra,2013,7,Biography,USA
Being Flynn,2012,6.4,Drama,USA
Bel Ami,2012,5.4,Crime,UK
Belle,2013,7.3,Biography,UK
Bellflower,2011,6.4,Action,USA
Below Her Mouth,2016,5.5,Drama,Canada
Ben Is Back,2018,6.7,Drama,USA
Ben-Hur,2016,5.7,Action,USA
Beneath Hill 60,2010,7.1,Drama,Australia
Beneath the Darkness,2011,4.5,Horror,USA
Berberian Sound Studio,2012,6.2,Drama,UK
Bereavement,2010,5.1,Crime,USA
Berlin Syndrome,2017,6.3,Drama,Australia
Bernie,2011,6.8,Biography,USA
Berserk: The Golden Age Arc I - The Egg of the King,2012,7.6,Animation,Japan
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.8,Animation,Japan
Berserk: The Golden Age Arc III - The Advent,2013,7.9,Animation,Japan
Best Man Down,2012,6.4,Comedy,USA
Beta Test,2016,5.7,Action,USA
Better Living Through Chemistry,2014,6.3,Comedy,UK
Better Watch Out,2016,6.5,Comedy,Australia
Between Two Ferns: The Movie,2019,6.1,Comedy,USA
Beyond Skyline,2017,5.3,Action,USA
Beyond the Black Rainbow,2010,6,Horror,Canada
Beyond the Gates,2016,5.2,Adventure,USA
Beyond the Lights,2014,6.9,Drama,USA
Beyond the Reach,2014,5.6,Thriller,USA
Big Ass Spider!,2013,5.3,Action,USA
Big Eyes,2014,7,Biography,USA
Big Game,2014,5.4,Action,Finland
Big Hero 6,2014,7.8,Animation,USA
Big Miracle,2012,6.5,Biography,USA
"Big Mommas: Like Father, Like Son",2011,4.4,Action,USA
Big Time Adolescence,2019,7,Comedy,USA
Bilal: A New Breed of Hero,2015,7.9,Animation,United Arab Emirates
Bill & Ted Face the Music,2020,6.1,Adventure,USA
Billionaire Boys Club,2018,5.6,Biography,USA
Billy Lynn's Long Halftime Walk,2016,6.2,Action,UK
Bird Box,2018,6.6,Horror,USA
Birdemic: Shock and Terror,2010,1.8,Horror,USA
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,Comedy,USA
Birds of Passage,2018,7.5,Crime,Colombia
Birds of Prey,2020,6.1,Action,USA
Birth of the Dragon,2016,5.5,Action,China
Black 47,2018,6.8,Action,Ireland
Black and Blue,2019,6.4,Action,USA
Black Box,2020,6.1,Horror,USA
Black Butterfly,2017,6.2,Thriller,Spain
Black Christmas,2019,3.3,Horror,USA
Black Death,2010,6.4,Action,Germany
Black Gold,2011,6.7,Action,France
Black Is King,2020,5.5,Adventure,USA
Black Mass,2015,6.9,Biography,USA
Black or White,2014,6.6,Drama,USA
Black Panther,2018,7.3,Action,USA
Black Rock,2012,4.7,Horror,USA
Black Sea,2014,6.4,Action,UK
Black Swan,2010,8,Drama,USA
Blackfoot Trail,2014,6,Drama,Canada
Blackhat,2015,5.4,Action,USA
BlacKkKlansman,2018,7.5,Biography,USA
Blackthorn,2011,6.5,Action,Spain
Blade Runner 2049,2017,8,Action,USA
Blair Witch,2016,5,Horror,Canada
Bleed for This,2016,6.8,Biography,USA
Bleeding Steel,2017,5.2,Action,China
Blended,2014,6.5,Comedy,USA
Blind Date,2015,6.6,Comedy,France
