title,link,year,rating,n_ratings,genre,cert,country,lang,budget,opening_week,runtime,continent,region
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,War,15,USA,Dari,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,War,15,USA,Russian,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,War,15,USA,Spanish,35000000,15815025,130,Americas,North America
12 Strong,http://www.imdb.com/title/tt1413492/?ref_=adv_li_tt,2018,6.6,66209,War,15,USA,Uzbek,35000000,15815025,130,Americas,North America
12 Years a Slave,http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,2013,8.1,631572,Biography,15,USA,English,20000000,923715,134,Americas,North America
12 Years a Slave,http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,2013,8.1,631572,Biography,15,UK,English,20000000,923715,134,Europe,Europe & Central Asia
12 Years a Slave,http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,2013,8.1,631572,Drama,15,USA,English,20000000,923715,134,Americas,North America
12 Years a Slave,http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,2013,8.1,631572,Drama,15,UK,English,20000000,923715,134,Europe,Europe & Central Asia
12 Years a Slave,http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,2013,8.1,631572,History,15,USA,English,20000000,923715,134,Americas,North America
12 Years a Slave,http://www.imdb.com/title/tt2024544/?ref_=adv_li_tt,2013,8.1,631572,History,15,UK,English,20000000,923715,134,Europe,Europe & Central Asia
120 BPM (Beats Per Minute),http://www.imdb.com/title/tt6135348/?ref_=adv_li_tt,2017,7.4,13006,Drama,15,France,French,NA,8566,143,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Adventure,15,USA,English,18000000,264851,94,Americas,North America
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Adventure,15,USA,Italian,18000000,264851,94,Americas,North America
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Adventure,15,UK,English,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Adventure,15,UK,Italian,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Adventure,15,France,English,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Adventure,15,France,Italian,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Biography,15,USA,English,18000000,264851,94,Americas,North America
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Biography,15,USA,Italian,18000000,264851,94,Americas,North America
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Biography,15,UK,English,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Biography,15,UK,Italian,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Biography,15,France,English,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Biography,15,France,Italian,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Drama,15,USA,English,18000000,264851,94,Americas,North America
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Drama,15,USA,Italian,18000000,264851,94,Americas,North America
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Drama,15,UK,English,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Drama,15,UK,Italian,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Drama,15,France,English,18000000,264851,94,Europe,Europe & Central Asia
127 Hours,http://www.imdb.com/title/tt1542344/?ref_=adv_li_tt,2010,7.5,344711,Drama,15,France,Italian,18000000,264851,94,Europe,Europe & Central Asia
13,http://www.imdb.com/title/tt0798817/?ref_=adv_li_tt,2010,6.1,40106,Crime,15,USA,English,NA,NA,91,Americas,North America
13,http://www.imdb.com/title/tt0798817/?ref_=adv_li_tt,2010,6.1,40106,Drama,15,USA,English,NA,NA,91,Americas,North America
13,http://www.imdb.com/title/tt0798817/?ref_=adv_li_tt,2010,6.1,40106,Thriller,15,USA,English,NA,NA,91,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Action,15,Malta,English,50000000,16194738,144,Europe,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Action,15,Malta,Arabic,50000000,16194738,144,Europe,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Action,15,Morocco,English,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Action,15,Morocco,Arabic,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Action,15,USA,English,50000000,16194738,144,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Action,15,USA,Arabic,50000000,16194738,144,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Drama,15,Malta,English,50000000,16194738,144,Europe,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Drama,15,Malta,Arabic,50000000,16194738,144,Europe,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Drama,15,Morocco,English,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Drama,15,Morocco,Arabic,50000000,16194738,144,Africa,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Drama,15,USA,English,50000000,16194738,144,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,Drama,15,USA,Arabic,50000000,16194738,144,Americas,North America
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,History,15,Malta,English,50000000,16194738,144,Europe,Middle East & North Africa
13 Hours,http://www.imdb.com/title/tt4172430/?ref_=adv_li_tt,2016,7.3,116785,History,15,Malta,Arabic,50000000,16194738,144,Europe,Middle East & North Africa
